Country,ISO3,UNICEF Region,Sex,Wealth Quantile,Copied or moved a file or folder,Used a copy and paste tool to duplicate or move information within a document,"Sent e-mail with attached file, such as a document, picture or video",Used a basic arithmetic formula in a spreadsheet,"Connected and installed a new device, such as a modem, camera or printer","Found, downloaded, installed and configured software","Created an electronic presentation with presentation software, including text, images, sound, video or charts",Transferred a file between a computer and other device,Wrote a computer program in any programming language,Performed at least one out of nine activities,Source,Year
Algeria,DZA,MENA,Female,1,0.062,0.061,0.038,0.025,0.03,0.03,0.032,0.034,0.025,0.076,MICS,2019
Algeria,DZA,MENA,Female,2,0.117,0.119,0.093,0.064,0.053,0.062,0.062,0.077,0.069,0.143,MICS,2019
Algeria,DZA,MENA,Female,3,0.187,0.19,0.153,0.101,0.101,0.108,0.105,0.123,0.087,0.223,MICS,2019
Algeria,DZA,MENA,Female,4,0.303,0.299,0.224,0.155,0.167,0.212,0.149,0.218,0.136,0.342,MICS,2019
Algeria,DZA,MENA,Female,5,0.48,0.486,0.395,0.273,0.316,0.333,0.267,0.351,0.21,0.531,MICS,2019
Argentina,ARG,LAC,Female,1,0.189,0.203,0.2,0.084,0.133,0.13,0.112,0.162,0.021,0.281,MICS,2019-20
Argentina,ARG,LAC,Female,2,0.419,0.427,0.409,0.19,0.263,0.3,0.265,0.361,0.063,0.527,MICS,2019-20
Argentina,ARG,LAC,Female,3,0.467,0.462,0.442,0.262,0.291,0.299,0.291,0.411,0.108,0.566,MICS,2019-20
Argentina,ARG,LAC,Female,4,0.598,0.563,0.57,0.273,0.345,0.405,0.324,0.497,0.099,0.673,MICS,2019-20
Argentina,ARG,LAC,Female,5,0.794,0.795,0.773,0.493,0.549,0.563,0.503,0.68,0.131,0.853,MICS,2019-20
Bangladesh,BGD,SA,Female,1,0,0.001,0,0,0,0,0,0,0,0.002,MICS,2019
Bangladesh,BGD,SA,Female,2,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.001,0.006,MICS,2019
Bangladesh,BGD,SA,Female,3,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0,0.004,MICS,2019
Bangladesh,BGD,SA,Female,4,0.006,0.004,0.004,0.003,0.003,0.007,0.001,0.004,0.001,0.01,MICS,2019
Bangladesh,BGD,SA,Female,5,0.053,0.048,0.042,0.022,0.033,0.056,0.028,0.036,0.012,0.082,MICS,2019
Central African Republic,CAF,WCA,Female,1,0,0,0,0,0,0,0,0,0,0,MICS,2019
Central African Republic,CAF,WCA,Female,2,0,0,0,0,0,0,0,0,0,0,MICS,2019
Central African Republic,CAF,WCA,Female,3,0,0,0,0,0,0,0,0,0,0,MICS,2019
Central African Republic,CAF,WCA,Female,4,0,0,0,0,0,0,0,0,0,0,MICS,2019
Central African Republic,CAF,WCA,Female,5,0.044,0.043,0.039,0.016,0.023,0.034,0.018,0.031,0.013,0.059,MICS,2019
